id;date;vaccines;tests;confirmed;recovered;deaths;hosp;vent;icu;population;school_closing;workplace_closing;cancel_events;gatherings_restrictions;transport_closing;stay_home_restrictions;internal_movement_restrictions;international_movement_restrictions;information_campaigns;testing_policy;contact_tracing;stringency_index;iso_alpha_3;iso_alpha_2;iso_numeric;currency;administrative_area_level;administrative_area_level_1;administrative_area_level_2;administrative_area_level_3;latitude;longitude;key;key_apple_mobility;key_google_mobility
AUT;07/05/2021;3646591;33990188;625034;587659;10215;959;;422;8840521;2;2;2;4;1;2;2;3;2;3;2;75;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;08/05/2021;3699383;34299962;626097;589709;10224;886;;406;8840521;2;2;2;4;1;2;2;3;2;3;2;75;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;09/05/2021;3718341;34504177;626841;591749;10241;865;;409;8840521;2;2;2;4;1;2;2;3;2;3;2;75;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;10/05/2021;3762062;34639633;627769;593723;10254;863;;385;8840521;2;2;2;4;1;2;2;3;2;3;2;75;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;11/05/2021;3828715;35003230;628926;595920;10260;857;;358;8840521;2;2;2;4;1;2;2;3;2;3;2;7315;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;12/05/2021;3930050;35383018;629923;598063;10281;797;;337;8840521;2;2;2;4;1;2;2;3;2;3;2;7315;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;13/05/2021;3964385;35798712;630771;599956;10292;695;;316;8840521;2;2;2;4;1;2;2;3;2;3;2;7315;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;14/05/2021;4055237;35939913;631410;601844;10298;686;;322;8840521;2;2;2;4;1;2;2;3;2;3;2;7315;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;15/05/2021;4115720;36217595;632097;603381;10310;628;;315;8840521;2;2;2;4;1;2;2;3;2;3;2;7315;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;16/05/2021;4140030;36393075;632618;604778;10319;612;;285;8840521;2;2;2;4;1;0;2;3;2;3;2;6574;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
