Date,Open,High,Low,Close,Adj Close,Volume
2020-05-15,5278.500000,5360.419922,5238.879883,5279.259766,5279.259766,52468500
2020-05-18,5279.259766,5597.270020,5279.259766,5595.060059,5595.060059,31132400
2020-05-19,5602.000000,5681.339844,5526.959961,5582.580078,5582.580078,36354100
2020-05-20,5582.580078,5652.149902,5499.680176,5652.149902,5652.149902,31009200
2020-05-21,5652.149902,5705.669922,5567.319824,5629.310059,5629.310059,28545600
2020-05-22,5629.540039,5675.029785,5556.979980,5652.830078,5652.830078,30408800
2020-05-25,5652.870117,5725.859863,5639.649902,5722.569824,5722.569824,11749800
2020-05-26,5722.569824,5899.629883,5722.569824,5874.629883,5874.629883,33434800
2020-05-27,5874.629883,5958.540039,5829.370117,5902.250000,5902.250000,57932700
2020-05-28,5903.560059,5954.299805,5866.790039,5933.640137,5933.640137,46788400
2020-05-29,5933.500000,5933.500000,5832.810059,5888.549805,5888.549805,201509300
2020-06-01,5903.279785,5998.609863,5903.279785,5993.850098,5993.850098,27996900
2020-06-02,6003.129883,6076.990234,5998.379883,6042.419922,6042.419922,40558700
2020-06-03,6043.089844,6226.399902,6043.089844,6224.319824,6224.319824,43062900
2020-06-04,6224.319824,6261.370117,6170.509766,6239.509766,6239.509766,42963000
2020-06-05,6239.350098,6360.899902,6239.350098,6358.899902,6358.899902,45325800
2020-06-08,6359.209961,6361.390137,6265.939941,6293.600098,6293.600098,36910400
2020-06-09,6294.250000,6313.229980,6130.359863,6132.890137,6132.890137,43827100
2020-06-10,6131.899902,6239.939941,6085.759766,6107.419922,6107.419922,31787700
2020-06-11,6067.770020,6067.770020,5827.040039,5851.200195,5851.200195,41410400
2020-06-12,5851.200195,5955.859863,5768.439941,5885.350098,5885.350098,27107800
2020-06-15,5885.620117,5930.410156,5746.229980,5908.709961,5908.709961,31167900
2020-06-16,5931.870117,6192.319824,5931.870117,6077.319824,6077.319824,37978200
2020-06-17,6078.000000,6193.649902,6068.080078,6118.549805,6118.549805,40265000
2020-06-18,6120.970215,6207.350098,6051.770020,6175.759766,6175.759766,33359000
2020-06-19,6175.759766,6231.000000,6149.279785,6174.680176,6174.680176,49039000
2020-06-22,6174.379883,6193.240234,6101.830078,6134.990234,6134.990234,32285500
2020-06-23,6130.629883,6223.410156,6100.720215,6177.330078,6177.330078,29234100
2020-06-24,6166.430176,6241.899902,5993.850098,5999.560059,5999.560059,27060600
2020-06-25,6001.009766,6001.009766,5875.149902,5976.339844,5976.339844,58974200
2020-06-26,5969.750000,5969.750000,5969.750000,5969.750000,5969.750000,0
2020-06-29,5970.430176,6048.819824,5948.830078,6030.379883,6030.379883,51114300
2020-06-30,6030.250000,6030.250000,5908.740234,5973.899902,5973.899902,29529500
2020-07-01,5974.799805,6013.970215,5901.379883,5991.589844,5991.589844,18531200
2020-07-02,5993.859863,6131.700195,5993.859863,6097.250000,6097.250000,31060400
2020-07-03,6096.450195,6128.870117,6018.720215,6030.060059,6030.060059,16819700
